
> amrikyy-ai-os@0.0.0 test:backend:coverage
> NODE_OPTIONS=--experimental-vm-modules jest --config jest.config.backend.cjs --coverage

-----------------------------------|---------|----------|---------|---------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                               | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s
-----------------------------------|---------|----------|---------|---------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
All files                          |     3.4 |     0.54 |    1.25 |     3.5 |
 routes                            |    6.63 |     0.32 |    0.47 |    6.66 |
  agents.js                        |       0 |        0 |       0 |       0 | 1-477
  ai.js                            |       0 |        0 |       0 |       0 | 6-475
  analytics.js                     |       0 |        0 |       0 |       0 | 14-305
  api.js                           |       0 |        0 |       0 |       0 | 1-294
  auth.js                          |   32.81 |     12.5 |    12.5 |   32.81 | 31-40,50-58,68-76,86-99,113-117,127-143,175-188
  automation.js                    |       0 |        0 |       0 |       0 | 6-240
  bookings.js                      |   40.81 |    14.28 |   16.66 |   40.81 | 41,53-63,72-87,101-111,120-131,141-143
  cache.js                         |       0 |        0 |       0 |       0 | 6-220
  codebase-routes.js               |   19.48 |        0 |       0 |   19.48 | 27-41,49-63,82-110,122-143,155-172,188-209,221-232,244-255
  crypto-payments.js               |       0 |        0 |       0 |       0 | 6-470
  dashboard.js                     |       0 |        0 |       0 |       0 | 1-37
  destinations.js                  |       0 |        0 |       0 |       0 | 1-153
  discord.js                       |       0 |        0 |       0 |       0 | 6-234
  email.js                         |       0 |        0 |       0 |       0 | 6-302
  enhanced-ai.js                   |       0 |        0 |       0 |       0 | 8-586
  expenses.js                      |       0 |        0 |       0 |       0 | 1-149
  flights.js                       |       0 |        0 |       0 |       0 | 6-276
  hotels.js                        |       0 |        0 |       0 |       0 | 6-316
  ivr.js                           |       0 |        0 |       0 |       0 | 6-352
  mcp.js                           |       0 |      100 |       0 |       0 | 1-20
  messenger.js                     |       0 |        0 |       0 |       0 | 6-299
  mini-agents.js                   |   18.75 |        0 |       0 |   18.75 | 18-22,31-38,47-52,61-65,74-79,88-93,103-113,118-128,136-145,150-158,166-175,180-189,197-207,212-220,228-236,241-250,258-268,273-281,289-298,303-311,319-329,334-343,351-362,367-376,381-391,396-406,411-421,426-436,444-454,459-468,473-482,487-496,501-511,516-525
  mini-apps.js                     |       0 |        0 |       0 |       0 | 9-681
  miniapp.js                       |       0 |        0 |       0 |       0 | 11-491
  notebooklm.js                    |   17.28 |        0 |       0 |   17.28 | 24-47,59-71,83-100,112-129,141-160,176-208,220-241,257-278,294-303
  notifications.js                 |       0 |        0 |       0 |       0 | 1-163
